x,y,seed,agent
24008,-0.18904954,1,PPO
24108,-0.18292776,1,PPO
24142,-0.19692938,1,PPO
24242,-0.21334483999999995,1,PPO
24342,-0.21324520000000002,1,PPO
24442,-0.2050738,1,PPO
24542,-0.19562858,1,PPO
24642,-0.16980017999999994,1,PPO
24742,-0.13838351999999998,1,PPO
24842,-0.13311488000000002,1,PPO
24942,-0.12603066,1,PPO
25042,-0.0959167,1,PPO
25142,-0.08501514,1,PPO
25242,-0.06472266000000004,1,PPO
25342,-0.062247600000000035,1,PPO
25442,-0.06173918000000005,1,PPO
25542,-0.02682156000000004,1,PPO
25642,-0.00354482000000002,1,PPO
25742,0.017369879999999963,1,PPO
25842,0.017817039999999982,1,PPO
25942,0.017816019999999974,1,PPO
26042,0.01633903999999996,1,PPO
26142,0.056363659999999975,1,PPO
26242,0.053084379999999966,1,PPO
26342,0.07691129999999996,1,PPO
26442,0.10222665999999997,1,PPO
26542,0.1040462,1,PPO
26642,0.11616573999999998,1,PPO
26742,0.11105349999999996,1,PPO
26842,0.13315544,1,PPO
26894,0.11530992,1,PPO
26965,0.07709937999999998,1,PPO
27065,0.08328665999999997,1,PPO
27148,0.06926875999999997,1,PPO
27179,0.06926875999999997,1,PPO
27279,0.07883093999999999,1,PPO
27379,0.09398958,1,PPO
27475,0.06972925999999997,1,PPO
27518,0.05572915999999997,1,PPO
27618,0.06079183999999997,1,PPO
27718,0.08626746000000003,1,PPO
27818,0.09093679999999996,1,PPO
27824,0.07416345999999999,1,PPO
27924,0.08373481999999999,1,PPO
27947,0.06973481999999996,1,PPO
28047,0.07021514000000001,1,PPO
28111,0.07021514,1,PPO
28211,0.08888817999999997,1,PPO
28311,0.08325754,1,PPO
28411,0.08707656,1,PPO
28511,0.10948084,1,PPO
28611,0.11954834000000003,1,PPO
28664,0.11954834000000003,1,PPO
28764,0.13778558000000002,1,PPO
28864,0.12993651999999994,1,PPO
28964,0.14966081999999992,1,PPO
29064,0.14820775999999994,1,PPO
29164,0.13292606,1,PPO
29264,0.13103592,1,PPO
29364,0.16768748,1,PPO
29464,0.16934776,1,PPO
29564,0.16019927999999994,1,PPO
29664,0.16270317999999995,1,PPO
29764,0.16236545999999996,1,PPO
29864,0.18639344,1,PPO
29964,0.20682748,1,PPO
30064,0.18782404,1,PPO
30164,0.16913878,1,PPO
30264,0.18494514,1,PPO
30364,0.18694524,1,PPO
30464,0.19156202,1,PPO
30564,0.18733898,1,PPO
30664,0.16875440000000005,1,PPO
30764,0.15792940000000005,1,PPO
30864,0.1393198,1,PPO
30964,0.1251742,1,PPO
31064,0.15017793999999995,1,PPO
31164,0.15928756,1,PPO
31264,0.14861584,1,PPO
31337,0.1144802,1,PPO
31437,0.15960039999999998,1,PPO
31537,0.18029042,1,PPO
31637,0.20614934,1,PPO
31737,0.22652066,1,PPO
31837,0.25016706000000005,1,PPO
31937,0.25490096,1,PPO
32037,0.25751100000000005,1,PPO
32137,0.29510949999999997,1,PPO
32237,0.3357375200000001,1,PPO
32337,0.3460396600000001,1,PPO
32437,0.33858122,1,PPO
32537,0.32840124000000004,1,PPO
32637,0.3809624,1,PPO
32737,0.39338872,1,PPO
32837,0.41455908,1,PPO
32937,0.4511447200000001,1,PPO
33037,0.4754844800000001,1,PPO
33137,0.4954139000000001,1,PPO
33237,0.5230262400000001,1,PPO
33337,0.5419487000000001,1,PPO
33437,0.5429218400000001,1,PPO
33537,0.5564264600000001,1,PPO
33637,0.59242806,1,PPO
33737,0.5938048800000001,1,PPO
33837,0.60658962,1,PPO
33937,0.58640222,1,PPO
34037,0.60210714,1,PPO
34137,0.62654632,1,PPO
34237,0.6164929800000001,1,PPO
34337,0.5973085200000001,1,PPO
34437,0.5820474200000001,1,PPO
34537,0.5999458800000002,1,PPO
34637,0.5986541400000002,1,PPO
34737,0.6185515400000001,1,PPO
34837,0.6325011600000002,1,PPO
34937,0.6223410000000001,1,PPO
35037,0.6093447800000001,1,PPO
35087,0.5927168400000001,1,PPO
35187,0.5858549600000001,1,PPO
35287,0.6072272000000001,1,PPO
35387,0.62160462,1,PPO
35487,0.6212225400000001,1,PPO
35587,0.61167134,1,PPO
35687,0.61167134,1,PPO
35787,0.62205758,1,PPO
35887,0.63030102,1,PPO
35987,0.6108387000000001,1,PPO
36087,0.6011354,1,PPO
36187,0.60106222,1,PPO
36287,0.63687266,1,PPO
36387,0.6262123799999999,1,PPO
36487,0.6405426799999999,1,PPO
36587,0.61666366,1,PPO
36687,0.6193605999999999,1,PPO
36787,0.6534565,1,PPO
36794,0.62716042,1,PPO
36894,0.6270233200000002,1,PPO
36994,0.6269378999999999,1,PPO
37094,0.6049011999999999,1,PPO
37194,0.6033950799999999,1,PPO
37294,0.60323502,1,PPO
37394,0.6101856,1,PPO
37494,0.5934066399999998,1,PPO
37594,0.5774135799999999,1,PPO
37694,0.5802876799999999,1,PPO
37794,0.5763708000000001,1,PPO
37894,0.5828276,1,PPO
37994,0.5642678999999999,1,PPO
38094,0.5359696,1,PPO
38194,0.5296326400000001,1,PPO
38294,0.5169105200000002,1,PPO
38394,0.5167288200000001,1,PPO
38494,0.5070299,1,PPO
38594,0.5202575800000001,1,PPO
38694,0.5222721600000001,1,PPO
38794,0.5208727800000001,1,PPO
38894,0.5281773800000001,1,PPO
38994,0.5287778800000001,1,PPO
39094,0.5314819800000001,1,PPO
39187,0.4999821000000001,1,PPO
39287,0.5144590600000001,1,PPO
39387,0.50928706,1,PPO
39417,0.4871696400000001,1,PPO
39442,0.44731748,1,PPO
39495,0.3948621,1,PPO
39595,0.40700506,1,PPO
39695,0.4427284,1,PPO
39795,0.4807270599999999,1,PPO
39895,0.4751901999999999,1,PPO
39995,0.4776810999999999,1,PPO
40095,0.47650098,1,PPO
40116,0.45035699999999995,1,PPO
40216,0.46444306,1,PPO
40280,0.44644306,1,PPO
40315,0.41590472,1,PPO
40415,0.4046902999999999,1,PPO
40515,0.4216673399999999,1,PPO
40615,0.4153485999999999,1,PPO
40715,0.4415066799999998,1,PPO
40815,0.4447665799999999,1,PPO
40915,0.4490827999999999,1,PPO
41015,0.4425343399999999,1,PPO
41115,0.4605548599999999,1,PPO
41215,0.4934663,1,PPO
41315,0.46061294,1,PPO
41415,0.4934183999999999,1,PPO
41515,0.4902253999999999,1,PPO
41615,0.47123868,1,PPO
41715,0.47561374,1,PPO
41815,0.48487344,1,PPO
41915,0.49294496,1,PPO
42015,0.4933010800000001,1,PPO
42115,0.5071031800000001,1,PPO
42215,0.51760088,1,PPO
42315,0.51718738,1,PPO
42415,0.5045303600000001,1,PPO
42515,0.5097460600000001,1,PPO
42615,0.50653042,1,PPO
42715,0.5232458400000002,1,PPO
42815,0.5096072400000001,1,PPO
42915,0.5017433800000002,1,PPO
43015,0.4984161600000002,1,PPO
43115,0.4999312200000002,1,PPO
43215,0.4874104400000001,1,PPO
43315,0.4698865600000002,1,PPO
43346,0.4535776400000001,1,PPO
43446,0.43742390000000014,1,PPO
43483,0.3976388200000001,1,PPO
43583,0.3989423600000001,1,PPO
43683,0.4413510400000001,1,PPO
43783,0.4350524800000001,1,PPO
43883,0.4439218000000001,1,PPO
43983,0.4738865800000001,1,PPO
44083,0.4977881200000001,1,PPO
44100,0.4977881200000001,1,PPO
44200,0.4884079200000001,1,PPO
44300,0.47339018,1,PPO
44400,0.47424328,1,PPO
44500,0.49250606,1,PPO
44600,0.49324914,1,PPO
44700,0.49389099999999997,1,PPO
44800,0.52216664,1,PPO
44900,0.5094711,1,PPO
45000,0.54918794,1,PPO
45100,0.58763972,1,PPO
45200,0.62159116,1,PPO
45235,0.58507232,1,PPO
45335,0.60531104,1,PPO
45435,0.5987667799999999,1,PPO
45535,0.59765758,1,PPO
45635,0.5988716399999999,1,PPO
45735,0.6245152399999999,1,PPO
45835,0.6072097199999998,1,PPO
45935,0.5929686399999999,1,PPO
46035,0.5985985799999999,1,PPO
46135,0.6161017999999999,1,PPO
46235,0.59787118,1,PPO
46335,0.6162922200000001,1,PPO
46435,0.6315712399999999,1,PPO
46535,0.6201499599999999,1,PPO
46635,0.6305514,1,PPO
46735,0.6323356199999999,1,PPO
46835,0.6226753799999999,1,PPO
46935,0.6256742200000001,1,PPO
47035,0.6578046200000001,1,PPO
47135,0.6555073,1,PPO
47235,0.6566564600000001,1,PPO
47335,0.64624934,1,PPO
47378,0.59850572,1,PPO
47478,0.61891956,1,PPO
47578,0.62126486,1,PPO
47678,0.61206456,1,PPO
47778,0.6053707399999999,1,PPO
47878,0.6055244000000001,1,PPO
47978,0.61761198,1,PPO
48078,0.64868502,1,PPO
48178,0.665299,1,PPO
48278,0.7041235599999999,1,PPO
48378,0.7126381999999999,1,PPO
48478,0.7074307,1,PPO
48578,0.7235735799999999,1,PPO
48678,0.7013320200000001,1,PPO
48778,0.68936738,1,PPO
48878,0.70295672,1,PPO
48978,0.72384216,1,PPO
49078,0.73221684,1,PPO
49178,0.74704306,1,PPO
49278,0.74766606,1,PPO
49378,0.7472955400000001,1,PPO
49478,0.7464313,1,PPO
49578,0.7558001999999999,1,PPO
49678,0.7648911600000001,1,PPO
49778,0.7677539400000001,1,PPO
49878,0.77992102,1,PPO
49978,0.78131366,1,PPO
50078,0.76564532,1,PPO
50178,0.78902352,1,PPO
50278,0.8059499200000001,1,PPO
50378,0.8041968799999999,1,PPO
50478,0.8061982199999999,1,PPO
50578,0.8060635999999999,1,PPO
50678,0.7906326399999999,1,PPO
50778,0.8022783999999998,1,PPO
50878,0.8005047799999998,1,PPO
50978,0.8037229199999999,1,PPO
51078,0.78746522,1,PPO
51178,0.80698968,1,PPO
51278,0.80850448,1,PPO
51378,0.80581842,1,PPO
51478,0.79822844,1,PPO
51578,0.7878417999999999,1,PPO
51678,0.7838259200000001,1,PPO
51778,0.7646361400000001,1,PPO
51878,0.7576237000000001,1,PPO
51978,0.7411995200000001,1,PPO
52078,0.73497352,1,PPO
52178,0.7335446200000001,1,PPO
